id,token_id,exchange_id,quote_type,input_token_symbol,input_amount,output_token_symbol,output_amount,output_amount_formatted,slippage_limit_percent,price_per_token,user_address,chain_id,quoted_at,expires_at,is_valid
9080,1,1,BUY,USDC,1000000000,USUI,309104864463508078592,309.10486446,0.50,3.23514805,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:33.550942+00:00,,True
9110,1,2,BUY,USDC,1000000000,USUI,307801173192542900000,307801173192542.87500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:49.243865+00:00,,True
9129,1,1,BUY,USDC,1000000000,USUI,309390380126504353792,309.39038013,0.50,3.23216255,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:55.111244+00:00,,True
9156,1,2,BUY,USDC,1000000000,USUI,307800574304267700000,307800574304267.68750000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:08.475897+00:00,,True
9168,1,1,BUY,USDC,1000000000,USUI,309127412162865004544,309.12741216,0.50,3.23491208,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:12.268315+00:00,,True
9200,1,2,BUY,USDC,1000000000,USUI,307791062249683100000,307791062249683.12500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:28.027938+00:00,,True
9224,1,1,BUY,USDC,1000000000,USUI,309069945213693329408,309.06994521,0.50,3.23551356,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:35.800626+00:00,,True
9244,1,2,BUY,USDC,1000000000,USUI,307796379742498060000,307796379742498.06250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:48.630462+00:00,,True
9286,1,2,BUY,USDC,1000000000,USUI,307815605149967300000,307815605149967.31250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:08.487779+00:00,,True
9304,1,1,BUY,USDC,1000000000,USUI,309051156022380003328,309.05115602,0.50,3.23571027,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:13.862422+00:00,,True
9332,1,2,BUY,USDC,1000000000,USUI,307815543494066050000,307815543494066.06250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:28.574220+00:00,,True
9347,1,1,BUY,USDC,1000000000,USUI,309056761178661388288,309.05676118,0.50,3.23565159,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:33.073436+00:00,,True
9378,1,2,BUY,USDC,1000000000,USUI,307811102261735360000,307811102261735.37500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:48.831463+00:00,,True
9422,1,2,BUY,USDC,1000000000,USUI,307857941731446660000,307857941731446.68750000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:08.596446+00:00,,True
9464,1,2,BUY,USDC,1000000000,USUI,308040831343750770000,308040831343750.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:28.678717+00:00,,True
9488,1,1,BUY,USDC,1000000000,USUI,309050240403811663872,309.05024040,0.50,3.23571986,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:36.616308+00:00,,True
9508,1,2,BUY,USDC,1000000000,USUI,307949286678750100000,307949286678750.12500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:48.767696+00:00,,True
9527,1,1,BUY,USDC,1000000000,USUI,309072025381548326912,309.07202538,0.50,3.23549179,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:55.098122+00:00,,True
9554,1,2,BUY,USDC,1000000000,USUI,307744065577107100000,307744065577107.12500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:09.090362+00:00,,True
